State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,173,UTTAR PRADESH,3209141,1606085,1603056,1931559,1121381,810178,386563,2731351,452394,3920,1451,7795,746,43,140538,5149
Uttar Pradesh,Kaushambi,25.53587532,81.41811282,174,UTTAR PRADESH,1599596,838485,761111,813424,507279,306145,321410,1372381,220423,2225,522,687,545,3,43753,1503
Uttar Pradesh,Allahabad,25.39203866,82.05172447,175,UTTAR PRADESH,5954391,3131807,2822584,3665727,2199340,1466387,541146,5102041,796756,13782,4377,4391,2247,305,391542,24122
Uttar Pradesh,Bara Banki,26.92277703,81.35762351,176,UTTAR PRADESH,3260699,1707073,1553626,1692458,1010518,681940,421973,2505444,737106,4857,2090,1553,3016,211,108116,3159
Uttar Pradesh,Faizabad,26.60589185,82.00783531,177,UTTAR PRADESH,2470996,1259628,1211368,1450901,838339,612562,272734,2094271,365806,3225,1912,737,358,185,127754,4746
Uttar Pradesh,Ambedkar Nagar,26.39119026,82.68282143,178,UTTAR PRADESH,2397888,1212410,1185478,1486939,846676,640263,301120,1985654,401678,2536,869,1817,235,33,99581,2509
Uttar Pradesh,Sultanpur,26.28463864,82.05710457,179,UTTAR PRADESH,3797117,1914586,1882531,2239902,1300248,939654,501634,3119590,650261,4453,1629,9989,426,336,233701,5956
Uttar Pradesh,Bahraich,27.6917763,81.46779783,180,UTTAR PRADESH,3487731,1843884,1643847,1398368,878285,520083,482897,2291892,1169330,6400,8212,2793,1177,38,85814,2681
Uttar Pradesh,Balrampur,27.44907654,82.47158326,182,UTTAR PRADESH,2148665,1114721,1033944,868357,544943,323414,328768,1333242,805975,3228,900,1866,198,87,57400,1551
Uttar Pradesh,Gonda,27.15721555,82.0226888,183,UTTAR PRADESH,3433919,1787146,1646773,1679994,1034181,645813,431532,2739076,678615,4735,1893,649,338,57,104084,4313
Uttar Pradesh,Basti,26.83388045,82.69790591,185,UTTAR PRADESH,2464464,1255272,1209192,1393783,819719,574064,282260,2082976,364510,3493,900,9753,107,99,108101,3423
Uttar Pradesh,Sant Kabir Nagar,26.79159652,83.03877643,186,UTTAR PRADESH,1715183,869656,845527,954949,567098,387851,241825,1300586,404410,1766,447,4393,95,35,79525,2031
Uttar Pradesh,Gorakhpur,26.63315887,83.35495604,188,UTTAR PRADESH,4440895,2277777,2163118,2700328,1593890,1106438,454931,4009037,403847,9662,2123,2848,460,207,296619,14597
Uttar Pradesh,Kushinagar,26.89253068,83.92261542,189,UTTAR PRADESH,3564544,1818055,1746489,1954820,1183722,771098,528388,2928462,620244,5006,767,4619,383,133,127331,3486
Uttar Pradesh,Deoria,26.42218857,83.82440707,190,UTTAR PRADESH,3100946,1537436,1563510,1875239,1079288,795951,291016,2730957,358539,3626,818,1182,209,146,150001,4469
Uttar Pradesh,Azamgarh,26.00829095,83.01220251,191,UTTAR PRADESH,4613913,2285004,2328909,2771917,1559414,1212503,452055,3878626,718692,3810,719,5652,183,226,183381,6652
Uttar Pradesh,Mau,26.01082204,83.50582654,192,UTTAR PRADESH,2205968,1114709,1091259,1363044,773082,589962,212343,1769937,428555,2109,340,564,155,129,149908,2656
Uttar Pradesh,Ballia,25.86075638,84.03651979,193,UTTAR PRADESH,3239774,1672902,1566872,1963590,1160960,802630,384432,3004240,213440,4463,892,1595,233,64,119972,4672
Uttar Pradesh,Jaunpur,25.70141281,82.54315352,194,UTTAR PRADESH,4494204,2220465,2273739,2731677,1565394,1166283,436792,3981502,483750,4947,1286,7898,349,114,181467,8002
Uttar Pradesh,Ghazipur,25.62472478,83.53608546,195,UTTAR PRADESH,3620268,1855075,1765193,2197549,1293553,903996,435934,3233790,368153,4181,810,3145,213,184,105767,5309
Uttar Pradesh,Chandauli,25.11808596,83.25307063,196,UTTAR PRADESH,1952756,1017905,934851,1174606,699454,475152,248674,1727869,215081,2153,1389,340,100,1175,99602,3492
Uttar Pradesh,Varanasi,25.36057089,82.82529667,197,UTTAR PRADESH,3676841,1921857,1754984,2403903,1389116,1014787,182146,3107681,546987,7696,3309,1146,1898,298,336056,19214
Uttar Pradesh,Mirzapur,25.10207959,82.60126629,199,UTTAR PRADESH,2496970,1312302,1184668,1428683,865837,562846,334372,2292534,195765,2373,1133,341,701,27,145997,4447
Uttar Pradesh,Sonbhadra,24.46693269,83.06816325,200,UTTAR PRADESH,1862559,971344,891215,985708,601988,383720,371261,1738769,103567,3963,1649,1747,487,1907,95582,5149
Uttar Pradesh,Etah,27.59115531,78.70021858,201,UTTAR PRADESH,1774480,947339,827141,1055202,647042,408160,131779,1611126,146346,2464,708,2887,5671,18,69591,2635
Bihar,Pashchim Champaran,27.16064352,84.30265912,203,BIHAR,3935042,2061110,1873932,1759481,1091226,668255,998833,3047427,865090,8469,926,1337,296,1895,57546,3495
Bihar,Purba Champaran,26.68129337,85.00382156,204,BIHAR,5099371,2681209,2418162,2276957,1407603,869354,1057417,4086453,990349,4865,668,878,464,104,74979,7719
Bihar,Sheohar,26.45838075,85.29539412,205,BIHAR,656246,346673,309573,283698,171645,112053,136334,552492,99342,522,216,73,52,44,10004,478
Bihar,Sitamarhi,26.5657007,85.61172491,206,BIHAR,3423574,1803252,1620322,1436794,885188,551606,635907,2672311,740101,2897,261,253,188,20,66263,3460
Bihar,Madhubani,26.41380538,86.1632836,207,BIHAR,4487379,2329313,2158066,2155338,1340085,815253,940642,3652168,818912,3262,564,328,442,169,113281,5319
Bihar,Supaul,26.28157894,86.78496465,208,BIHAR,2229076,1155283,1073793,1033283,647672,385611,554271,1809936,409251,3758,271,136,546,42,51028,1845
Bihar,Araria,26.21152812,87.30766555,209,BIHAR,2811569,1463333,1348236,1195768,727643,468125,691947,1593525,1207442,4116,371,187,1910,63,43290,2561
Bihar,Kishanganj,26.32433676,87.95045007,210,BIHAR,1690400,866970,823430,745056,439921,305135,321867,531236,1149095,5783,398,183,1476,28,58718,1093
Bihar,Purnia,25.81714802,87.40447607,211,BIHAR,3264619,1699370,1565249,1332326,805261,527065,745015,1989420,1255641,7989,614,353,1450,650,86058,4170
Bihar,Katihar,25.56565356,87.70466084,212,BIHAR,3071029,1600430,1470599,1280190,762256,517934,672291,1684589,1365645,8659,2754,212,507,2141,60900,2941
Bihar,Madhepura,25.77341929,86.8978444,213,BIHAR,2001762,1047559,954203,834577,517666,316911,484062,1753829,241760,1342,170,60,133,81,23236,1397
Bihar,Saharsa,25.8212707,86.5467082,214,BIHAR,1900661,997174,903487,804996,506374,298622,356833,1629254,266620,1292,197,60,109,8,41342,1668
Bihar,Darbhanga,26.14618772,85.97387352,215,BIHAR,3937385,2059949,1877436,1816634,1125566,691068,642115,3042729,881476,3534,832,245,236,101,127442,6280
Bihar,Muzaffarpur,26.18664417,85.32745092,216,BIHAR,4801062,2527497,2273565,2509232,1487117,1022115,769001,4032773,745546,5149,933,288,382,98,180651,10290
Bihar,Gopalganj,26.44874364,84.34636127,217,BIHAR,2562012,1267666,1294346,1382998,793905,589093,338666,2119262,436057,2463,271,167,133,28,69375,3707
Bihar,Siwan,26.1736372,84.33766553,218,BIHAR,3330464,1675090,1655374,1930175,1115906,814269,376344,2712635,608282,2618,369,407,359,86,52935,3834
Bihar,Saran,25.89656078,84.82266287,219,BIHAR,3951862,2022821,1929041,2157454,1285767,871687,493461,3534772,406449,2330,371,229,322,107,94787,4509
Bihar,Vaishali,25.81347032,85.39247597,220,BIHAR,3495021,1844535,1650486,1926740,1152576,774164,502637,3152346,333980,2203,707,362,246,71,70001,4810
Bihar,Samastipur,25.79320556,85.94833323,221,BIHAR,4261566,2230003,2031563,2142880,1293575,849305,721629,3800598,452370,2126,554,292,231,112,88021,5379
Bihar,Begusarai,25.54302613,86.12560144,222,BIHAR,2970541,1567660,1402881,1548673,918507,630166,430870,2554330,407348,2209,402,229,276,57,120373,4644
Bihar,Khagaria,25.53558891,86.56593256,223,BIHAR,1666886,883786,783100,768028,461153,306875,325731,1486989,175588,1253,143,79,86,115,40641,1580
Bihar,Bhagalpur,25.27719289,87.04213814,224,BIHAR,3037766,1615663,1422103,1573066,937669,635397,475228,2487866,537098,3556,415,180,1050,32,174534,6764
Bihar,Banka,24.83235564,86.86649163,225,BIHAR,2034763,1067140,967623,965321,590961,374360,462614,1772655,250925,6138,139,113,94,1035,62359,1704
Bihar,Munger,25.19853796,86.54173673,226,BIHAR,1367765,729041,638724,801817,473741,328076,196449,1252319,110416,1815,338,95,145,61,90461,2653
Bihar,Lakhisarai,25.18344932,86.12825701,227,BIHAR,1000912,526345,474567,507270,305182,202088,159970,956396,40886,487,140,52,78,52,44491,1186
